Año;Album;Streams;Generos
2003;Get Rich Or Die Tryin' 50 Cent;5015462958;['Gangsta rap', 'East Coast rap']
2003;Meteora Linkin Park;4857430359;['Alternativa/independiente', 'Heavy metal', 'Rock']
2003;Fallen Evanescence;2573148885;['Nu metal', 'Metal gótico', 'Metal alternativo']
2003;Dangerously In Love Beyoncé;2464362757;['R&B/Soul', 'Pop']
2003;Speakerboxxx/The Love Below Outkast;2211349865;['Hip-hop/rap', 'Estacional']
2004;Hot Fuss The Killers;4060162609;['Alternativa/independiente', 'Dance/Electrónica', 'Rock']
2004;Encore Eminem;3386228369;['Hip-hop/rap']
2004;Confessions Usher;3299536656;['R&B']
2004;American Idiot Green Day;2758705949;['Punk', 'Pop punk']
2004;Hopes And Fears Keane;2566351836;['alternative rock band', '']
2005;Demon Days Gorillaz;2948130686;['Alternativa/independiente', 'Pop', 'UK R&B', 'Hip-hop/rap']
2005;In Between Dreams Jack Johnson;2803420126;['Pop', 'Rock', 'Folk']
2005;X&Y Coldplay;2527392067;['Alternativa/independiente', 'Rock']
2005;Late Registration Kanye West;2491103690;['Spoken Word', 'Hip-hop/rap']
2005;The Massacre 50 Cent;2378962508;['Hip-hop/rap']
2006;Back To Black Amy Winehouse;4261114016;['UK R&B']
2006;The Black Parade / Living With Ghosts My Chemical Romance;3806924926;['Alternativa/independiente', 'Rock']
2006;Stadium Arcadium Red Hot Chili Peppers;2989597344;['Alternativa/independiente', 'Rock']
2006;Loose Nelly Furtado;2953534601;['R&B/Soul', 'Pop', 'UK R&B', 'Halloween music', 'Hip-hop/rap']
2006;Konvicted Akon;2417997343;['Reggae', 'R&B/Soul', 'Pop', 'Hip-hop/rap', 'Afrobeats']
2007;Graduation Kanye West;6355810973;['Hip-hop/rap']
2007;Good Girl Gone Bad Rihanna;5570160652;['R&B/Soul', 'Dance/Electrónica', 'Pop']
2007;Favourite Worst Nightmare Arctic Monkeys;4075391033;['Alternativa/independiente', 'Rock']
2007;Minutes To Midnight Linkin Park;2733270633;['Rock alternativo']
2007;Oracular Spectacular MGMT;2313245470;['Alternativa/independiente', 'French Indie']
2008;The Fame / The Fame Monster Lady Gaga;7029921065;['Pop', 'UK R&B', 'Halloween music']
2008;I Am...Sasha Fierce Beyoncé;3935537492;['R&B/Soul', 'Pop', 'Estacional']
2008;Only By The Night Kings of Leon;3212467798;['Rock alternativo', 'Pop rock', 'Rock sureño']
2008;Viva La Vida Or Death And All His Friends Coldplay;3191610805;['Alternativa/independiente', 'Pop', 'UK R&B']
2008;We Sing. We Dance. We Steal Things. Jason Mraz;2963479787;['Reggae', 'R&B/Soul', 'Alternativa/independiente', 'Pop']
